_id,time,x,y,z,__v
65731056f0fd7e0ab163a023,1702039638430,4.581,4.125,-0.629,0
65731056f0fd7e0ab163a027,1702039638615,4.606,4.138,-0.659,0
65731056f0fd7e0ab163a02e,1702039638818,4.606,4.138,-0.659,0
65731057f0fd7e0ab163a038,1702039639011,4.606,4.138,-0.659,0
65731057f0fd7e0ab163a046,1702039639196,4.606,4.138,-0.659,0
65731057f0fd7e0ab163a053,1702039639377,4.606,4.138,-0.659,0
65731057f0fd7e0ab163a05e,1702039639563,4.606,4.138,-0.659,0
65731057f0fd7e0ab163a068,1702039639742,4.606,4.138,-0.659,0
65731057f0fd7e0ab163a072,1702039639938,4.606,4.138,-0.659,0
65731058f0fd7e0ab163a07d,1702039640115,4.606,4.138,-0.659,0
65731058f0fd7e0ab163a08a,1702039640310,4.606,4.138,-0.659,0
65731058f0fd7e0ab163a095,1702039640490,4.606,4.138,-0.659,0
65731058f0fd7e0ab163a0a0,1702039640686,4.606,4.138,-0.659,0
65731058f0fd7e0ab163a0a9,1702039640868,4.606,4.138,-0.659,0
65731059f0fd7e0ab163a0b6,1702039641061,4.606,4.138,-0.659,0
65731059f0fd7e0ab163a0c2,1702039641251,4.606,4.138,-0.659,0
65731059f0fd7e0ab163a0ce,1702039641437,4.42,4.203,-0.701,0
65731059f0fd7e0ab163a0db,1702039641619,4.42,4.203,-0.701,0
65731059f0fd7e0ab163a0e7,1702039641809,4.515,4.188,-0.74,0
6573105af0fd7e0ab163a0f4,1702039642008,4.515,4.188,-0.74,0
6573105af0fd7e0ab163a101,1702039642216,4.515,4.188,-0.74,0
6573105af0fd7e0ab163a10d,1702039642403,4.619,4.161,-0.709,0
6573105af0fd7e0ab163a117,1702039642602,4.619,4.161,-0.709,0
6573105af0fd7e0ab163a120,1702039642804,4.625,4.193,-0.586,0
6573105af0fd7e0ab163a12e,1702039642993,4.625,4.193,-0.586,0
6573105bf0fd7e0ab163a137,1702039643163,4.625,4.193,-0.586,0
6573105bf0fd7e0ab163a145,1702039643431,4.675,4.131,-0.427,0
6573105bf0fd7e0ab163a151,1702039643634,4.675,4.131,-0.427,0
6573105bf0fd7e0ab163a15f,1702039643830,4.675,4.131,-0.427,0
6573105cf0fd7e0ab163a16c,1702039644011,4.874,4.183,-0.335,0
6573105cf0fd7e0ab163a178,1702039644193,4.874,4.183,-0.335,0
6573105cf0fd7e0ab163a188,1702039644407,5.038,4.167,-0.387,0
6573105cf0fd7e0ab163a192,1702039644640,5.038,4.167,-0.387,0
6573105df0fd7e0ab163a1c1,1702039645585,5.038,4.167,-0.387,0
6573105ef0fd7e0ab163a1f2,1702039646582,5.478,4.184,0.005,0
6573105ff0fd7e0ab163a212,1702039647156,5.935,4.134,0.09,0
6573105ff0fd7e0ab163a21f,1702039647374,6.219,4.126,0.195,0
6573105ff0fd7e0ab163a22b,1702039647580,6.453,4.168,-0.021,0
6573105ff0fd7e0ab163a237,1702039647790,6.453,4.168,-0.021,0
65731060f0fd7e0ab163a243,1702039647995,6.832,4.203,0.268,0
65731060f0fd7e0ab163a24d,1702039648181,6.832,4.203,0.268,0
65731060f0fd7e0ab163a25b,1702039648385,6.832,4.203,0.268,0
65731060f0fd7e0ab163a263,1702039648592,7.135,4.284,0.321,0
65731060f0fd7e0ab163a26e,1702039648811,7.135,4.284,0.321,0
65731061f0fd7e0ab163a279,1702039649023,7.487,4.277,-0.048,0
65731061f0fd7e0ab163a296,1702039649579,7.487,4.277,-0.048,0
65731062f0fd7e0ab163a2c4,1702039650580,7.791,4.321,-0.207,0
65731063f0fd7e0ab163a2f8,1702039651594,8.032,4.078,-0.318,0
65731064f0fd7e0ab163a32b,1702039652593,7.265,3.465,0.066,0
65731065f0fd7e0ab163a359,1702039653584,7.803,3.139,-0.022,0
65731066f0fd7e0ab163a37a,1702039654488,7.843,2.688,-0.077,0
65731066f0fd7e0ab163a384,1702039654700,8.23,2.145,-0.391,0
65731066f0fd7e0ab163a390,1702039654888,8.23,2.145,-0.391,0
65731067f0fd7e0ab163a39d,1702039655080,8.166,1.812,-0.145,0
65731067f0fd7e0ab163a3a8,1702039655259,8.166,1.812,-0.145,0
65731067f0fd7e0ab163a3b7,1702039655465,8.166,1.812,-0.145,0
65731067f0fd7e0ab163a3c1,1702039655647,7.953,1.403,0.279,0
65731067f0fd7e0ab163a3cc,1702039655839,7.953,1.403,0.279,0
65731068f0fd7e0ab163a3d8,1702039656036,7.953,1.403,0.279,0
65731068f0fd7e0ab163a3e6,1702039656245,7.767,1.071,0.353,0
65731068f0fd7e0ab163a3f3,1702039656429,7.767,1.071,0.353,0
65731068f0fd7e0ab163a3fe,1702039656610,7.79,0.843,0.31,0
65731068f0fd7e0ab163a40c,1702039656821,7.79,0.843,0.31,0
65731069f0fd7e0ab163a418,1702039657011,7.79,0.843,0.31,0
65731069f0fd7e0ab163a421,1702039657208,7.921,0.721,0.455,0
65731069f0fd7e0ab163a42a,1702039657384,7.921,0.721,0.455,0
65731069f0fd7e0ab163a436,1702039657592,7.921,0.721,0.455,0
65731069f0fd7e0ab163a441,1702039657807,7.644,0.767,0.73,0
6573106af0fd7e0ab163a44f,1702039658022,7.644,0.767,0.73,0
6573106af0fd7e0ab163a458,1702039658222,7.27,0.697,0.516,0
6573106af0fd7e0ab163a463,1702039658420,7.27,0.697,0.516,0
6573106af0fd7e0ab163a46d,1702039658597,7.27,0.697,0.516,0
6573106af0fd7e0ab163a479,1702039658792,6.903,0.69,0.241,0
6573106af0fd7e0ab163a486,1702039658982,6.903,0.69,0.241,0
6573106bf0fd7e0ab163a491,1702039659183,6.605,0.697,0.274,0
6573106bf0fd7e0ab163a49c,1702039659394,6.605,0.697,0.274,0
6573106bf0fd7e0ab163a4a9,1702039659574,6.605,0.697,0.274,0
6573106bf0fd7e0ab163a4b3,1702039659777,6.342,0.781,0.478,0
6573106bf0fd7e0ab163a4bf,1702039659991,6.342,0.781,0.478,0
6573106cf0fd7e0ab163a4ca,1702039660198,5.951,0.744,0.525,0
6573106cf0fd7e0ab163a4d6,1702039660401,5.951,0.744,0.525,0
6573106cf0fd7e0ab163a4df,1702039660579,5.951,0.744,0.525,0
6573106cf0fd7e0ab163a4ea,1702039660782,5.563,0.616,-0.082,0
6573106cf0fd7e0ab163a4f5,1702039660954,5.563,0.616,-0.082,0
