_id,time,x,y,z,__v
657313a2f0fd7e0ab1644b67,1702040482694,1.01,4.847,0.235,0
657313a2f0fd7e0ab1644b72,1702040482861,1.01,4.847,0.235,0
657313a3f0fd7e0ab1644b7a,1702040483023,0.984,4.977,-0.066,0
657313a3f0fd7e0ab1644b85,1702040483183,0.984,4.977,-0.066,0
657313a3f0fd7e0ab1644b91,1702040483349,0.984,4.977,-0.066,0
657313a3f0fd7e0ab1644b9b,1702040483508,0.985,5.095,0.471,0
657313a3f0fd7e0ab1644ba7,1702040483696,0.985,5.095,0.471,0
657313a3f0fd7e0ab1644bb3,1702040483862,0.985,5.095,0.471,0
657313a4f0fd7e0ab1644bc0,1702040484034,1.005,5.167,0.474,0
657313a4f0fd7e0ab1644bcc,1702040484223,1.005,5.167,0.474,0
657313a4f0fd7e0ab1644bd9,1702040484399,1.005,5.167,0.474,0
657313a4f0fd7e0ab1644be6,1702040484584,1.113,5.197,0.401,0
657313a4f0fd7e0ab1644bf3,1702040484752,1.113,5.197,0.401,0
657313a4f0fd7e0ab1644bfd,1702040484923,1.113,5.197,0.401,0
657313a5f0fd7e0ab1644c08,1702040485095,1.154,5.072,-0.104,0
657313a5f0fd7e0ab1644c13,1702040485259,1.154,5.072,-0.104,0
657313a5f0fd7e0ab1644c1e,1702040485432,1.154,5.072,-0.104,0
657313a5f0fd7e0ab1644c29,1702040485605,1.307,5.022,0.033,0
657313a5f0fd7e0ab1644c34,1702040485771,1.307,5.022,0.033,0
657313a5f0fd7e0ab1644c40,1702040485961,1.307,5.022,0.033,0
657313a6f0fd7e0ab1644c4b,1702040486143,1.43,5.115,0.173,0
657313a6f0fd7e0ab1644c54,1702040486308,1.43,5.115,0.173,0
657313a6f0fd7e0ab1644c60,1702040486512,1.43,5.115,0.173,0
657313a6f0fd7e0ab1644c6b,1702040486690,1.675,5.159,0.095,0
657313a6f0fd7e0ab1644c77,1702040486876,1.675,5.159,0.095,0
657313a7f0fd7e0ab1644c80,1702040487051,1.881,5.126,-0.282,0
657313a7f0fd7e0ab1644c8b,1702040487225,1.881,5.126,-0.282,0
657313a7f0fd7e0ab1644c95,1702040487403,1.881,5.126,-0.282,0
657313a7f0fd7e0ab1644ca0,1702040487576,2.066,5.125,-0.575,0
657313a7f0fd7e0ab1644cab,1702040487741,2.066,5.125,-0.575,0
657313a7f0fd7e0ab1644cb7,1702040487920,2.066,5.125,-0.575,0
657313a8f0fd7e0ab1644cc0,1702040488104,2.413,5.142,-0.508,0
657313a8f0fd7e0ab1644ccb,1702040488267,2.413,5.142,-0.508,0
657313a8f0fd7e0ab1644cd7,1702040488442,2.413,5.142,-0.508,0
657313a8f0fd7e0ab1644ce4,1702040488637,2.566,5.182,-0.178,0
657313a8f0fd7e0ab1644ced,1702040488814,2.566,5.182,-0.178,0
657313a8f0fd7e0ab1644cf9,1702040488990,2.566,5.182,-0.178,0
657313a9f0fd7e0ab1644d04,1702040489169,2.627,5.23,0.046,0
657313a9f0fd7e0ab1644d0f,1702040489335,2.627,5.23,0.046,0
657313a9f0fd7e0ab1644d1d,1702040489516,2.627,5.23,0.046,0
657313a9f0fd7e0ab1644d2a,1702040489687,2.558,5.294,-0.465,0
657313a9f0fd7e0ab1644d37,1702040489874,2.558,5.294,-0.465,0
657313aaf0fd7e0ab1644d40,1702040490058,2.38,5.467,-0.691,0
657313aaf0fd7e0ab1644d4b,1702040490240,2.38,5.467,-0.691,0
