_id,time,x,y,z,__v
657313d3f0fd7e0ab16454be,1702040531780,2.47,7.717,-0.401,0
657313d3f0fd7e0ab16454c1,1702040531980,2.482,7.688,-0.39,0
657313d4f0fd7e0ab16454c6,1702040532194,2.482,7.688,-0.39,0
657313d4f0fd7e0ab16454d0,1702040532391,2.482,7.688,-0.39,0
657313d4f0fd7e0ab16454d9,1702040532610,2.482,7.688,-0.39,0
657313d4f0fd7e0ab16454e1,1702040532797,2.482,7.688,-0.39,0
657313d4f0fd7e0ab16454eb,1702040532978,2.482,7.688,-0.39,0
657313d5f0fd7e0ab16454f6,1702040533160,2.482,7.688,-0.39,0
657313d5f0fd7e0ab16454ff,1702040533345,2.482,7.688,-0.39,0
657313d5f0fd7e0ab1645502,1702040533530,2.482,7.688,-0.39,0
657313d5f0fd7e0ab1645505,1702040533715,2.482,7.688,-0.39,0
657313d5f0fd7e0ab1645508,1702040533903,2.482,7.688,-0.39,0
657313d6f0fd7e0ab164550b,1702040534080,2.482,7.688,-0.39,0
657313d6f0fd7e0ab164550e,1702040534286,2.482,7.688,-0.39,0
657313d6f0fd7e0ab1645511,1702040534472,2.482,7.688,-0.39,0
657313d6f0fd7e0ab1645514,1702040534652,2.482,7.688,-0.39,0
657313d6f0fd7e0ab1645519,1702040534844,2.482,7.688,-0.39,0
657313d7f0fd7e0ab164551c,1702040535037,2.482,7.688,-0.39,0
657313d7f0fd7e0ab1645525,1702040535216,2.482,7.688,-0.39,0
657313d7f0fd7e0ab1645530,1702040535395,2.482,7.688,-0.39,0
657313d7f0fd7e0ab164553a,1702040535584,2.482,7.688,-0.39,0
657313d7f0fd7e0ab1645545,1702040535769,4.16,4.314,0.426,0
657313d7f0fd7e0ab1645552,1702040535960,4.16,4.314,0.426,0
657313d8f0fd7e0ab164555c,1702040536160,4.16,4.314,0.426,0
657313d8f0fd7e0ab1645567,1702040536336,4.142,4.235,0.553,0
657313d8f0fd7e0ab1645571,1702040536517,4.142,4.235,0.553,0
657313d8f0fd7e0ab164557f,1702040536716,4.142,4.235,0.553,0
657313d8f0fd7e0ab164558b,1702040536902,4.011,4.32,0.299,0
657313d9f0fd7e0ab1645596,1702040537098,4.011,4.32,0.299,0
657313d9f0fd7e0ab164559f,1702040537271,4.048,4.259,0.347,0
657313d9f0fd7e0ab16455aa,1702040537468,4.048,4.259,0.347,0
657313d9f0fd7e0ab16455b8,1702040537669,4.048,4.259,0.347,0
657313d9f0fd7e0ab16455c1,1702040537839,3.919,4.348,-0.176,0
657313daf0fd7e0ab16455cc,1702040538013,3.919,4.348,-0.176,0
657313daf0fd7e0ab16455d8,1702040538184,3.919,4.348,-0.176,0
657313daf0fd7e0ab16455e1,1702040538376,3.911,4.363,-0.315,0
657313daf0fd7e0ab16455ef,1702040538572,3.911,4.363,-0.315,0
657313daf0fd7e0ab16455fa,1702040538760,3.925,4.354,-0.024,0
657313daf0fd7e0ab1645604,1702040538937,3.925,4.354,-0.024,0
657313dbf0fd7e0ab1645612,1702040539136,3.925,4.354,-0.024,0
657313dbf0fd7e0ab164561f,1702040539345,3.803,4.414,-0.199,0
657313dbf0fd7e0ab164562b,1702040539544,3.803,4.414,-0.199,0
657313dbf0fd7e0ab1645637,1702040539742,3.803,4.414,-0.199,0
657313dbf0fd7e0ab1645644,1702040539945,3.738,4.315,-0.007,0
657313dcf0fd7e0ab1645650,1702040540148,3.738,4.315,-0.007,0
657313dcf0fd7e0ab164565d,1702040540325,3.617,4.3,0.002,0
657313dcf0fd7e0ab164566a,1702040540527,3.617,4.3,0.002,0
657313dcf0fd7e0ab1645678,1702040540726,3.405,4.335,-0.234,0
657313dcf0fd7e0ab1645683,1702040540926,3.405,4.335,-0.234,0
657313ddf0fd7e0ab164568f,1702040541117,3.405,4.335,-0.234,0
657313ddf0fd7e0ab164569a,1702040541298,3.161,4.308,-0.275,0
657313ddf0fd7e0ab16456a6,1702040541472,3.161,4.308,-0.275,0
657313ddf0fd7e0ab16456b1,1702040541649,3.161,4.308,-0.275,0
657313ddf0fd7e0ab16456be,1702040541853,2.883,4.298,-0.202,0
657313def0fd7e0ab16456c9,1702040542026,2.883,4.298,-0.202,0
657313def0fd7e0ab16456d3,1702040542230,2.883,4.298,-0.202,0
