_id,time,x,y,z,__v
65731006f0fd7e0ab1638fbb,1702039558059,5.844,4.15,0.338,0
65731006f0fd7e0ab1638fc0,1702039558219,6.023,4.155,0.143,0
65731006f0fd7e0ab1638fc9,1702039558386,6.023,4.155,0.143,0
65731006f0fd7e0ab1638fd4,1702039558552,6.023,4.155,0.143,0
65731006f0fd7e0ab1638fdf,1702039558705,6.023,4.155,0.143,0
65731006f0fd7e0ab1638fea,1702039558864,6.023,4.155,0.143,0
65731007f0fd7e0ab1638ff3,1702039559023,6.023,4.155,0.143,0
65731007f0fd7e0ab1638ffe,1702039559181,6.023,4.155,0.143,0
65731007f0fd7e0ab1639007,1702039559342,6.023,4.155,0.143,0
65731007f0fd7e0ab1639012,1702039559495,6.023,4.155,0.143,0
65731007f0fd7e0ab163901d,1702039559661,6.023,4.155,0.143,0
65731007f0fd7e0ab1639028,1702039559827,6.023,4.155,0.143,0
65731007f0fd7e0ab1639033,1702039559983,6.023,4.155,0.143,0
65731008f0fd7e0ab163903e,1702039560137,6.023,4.155,0.143,0
65731008f0fd7e0ab1639047,1702039560293,6.023,4.155,0.143,0
65731008f0fd7e0ab1639052,1702039560463,6.023,4.155,0.143,0
65731008f0fd7e0ab163905e,1702039560631,6.023,4.155,0.143,0
65731008f0fd7e0ab1639069,1702039560803,4.38,4.294,-0.282,0
65731008f0fd7e0ab1639072,1702039560968,4.38,4.294,-0.282,0
65731009f0fd7e0ab163907b,1702039561121,4.38,4.294,-0.282,0
65731009f0fd7e0ab1639087,1702039561293,4.38,4.294,-0.282,0
65731009f0fd7e0ab1639090,1702039561452,4.353,4.296,-0.308,0
65731009f0fd7e0ab1639099,1702039561616,4.353,4.296,-0.308,0
65731009f0fd7e0ab16390a3,1702039561780,4.353,4.296,-0.308,0
65731009f0fd7e0ab16390ae,1702039561941,4.286,4.293,-0.256,0
6573100af0fd7e0ab16390b7,1702039562108,4.286,4.293,-0.256,0
6573100af0fd7e0ab16390c3,1702039562285,4.286,4.293,-0.256,0
6573100af0fd7e0ab16390cc,1702039562445,4.377,4.263,-0.231,0
6573100af0fd7e0ab16390d5,1702039562602,4.377,4.263,-0.231,0
6573100af0fd7e0ab16390df,1702039562757,4.377,4.263,-0.231,0
6573100af0fd7e0ab16390e9,1702039562916,4.407,4.178,-0.374,0
6573100bf0fd7e0ab16390f5,1702039563090,4.407,4.178,-0.374,0
6573100bf0fd7e0ab16390ff,1702039563247,4.407,4.178,-0.374,0
6573100bf0fd7e0ab163910b,1702039563414,4.46,4.193,-0.44,0
6573100bf0fd7e0ab1639113,1702039563581,4.46,4.193,-0.44,0
6573100bf0fd7e0ab163911e,1702039563759,4.46,4.193,-0.44,0
6573100bf0fd7e0ab1639127,1702039563929,4.46,4.193,-0.44,0
6573100cf0fd7e0ab1639130,1702039564088,4.46,4.193,-0.44,0
6573100cf0fd7e0ab163913b,1702039564262,4.46,4.193,-0.44,0
6573100cf0fd7e0ab1639144,1702039564422,4.46,4.193,-0.44,0
6573100cf0fd7e0ab163914d,1702039564586,4.46,4.193,-0.44,0
6573100cf0fd7e0ab1639156,1702039564756,4.46,4.193,-0.44,0
6573100cf0fd7e0ab163915b,1702039564919,4.46,4.193,-0.44,0
6573100df0fd7e0ab163915e,1702039565093,4.46,4.193,-0.44,0
6573100df0fd7e0ab1639161,1702039565253,4.46,4.193,-0.44,0
6573100df0fd7e0ab1639164,1702039565414,4.46,4.193,-0.44,0
6573100df0fd7e0ab1639168,1702039565574,4.46,4.193,-0.44,0
6573100df0fd7e0ab163916a,1702039565745,4.46,4.193,-0.44,0
6573100df0fd7e0ab1639170,1702039565905,4.46,4.193,-0.44,0
6573100ef0fd7e0ab163917a,1702039566068,5.208,4.23,-0.369,0
6573100ef0fd7e0ab1639184,1702039566228,5.208,4.23,-0.369,0
6573100ef0fd7e0ab1639190,1702039566404,5.208,4.23,-0.369,0
6573100ef0fd7e0ab1639199,1702039566572,5.382,4.253,0,0
6573100ef0fd7e0ab16391a2,1702039566755,5.382,4.253,0,0
6573100ef0fd7e0ab16391ac,1702039566906,5.382,4.253,0,0
6573100ff0fd7e0ab16391b7,1702039567066,5.646,4.199,0.288,0
6573100ff0fd7e0ab16391c2,1702039567240,5.646,4.199,0.288,0
