_id,time,x,y,z,__v
65730f6af0fd7e0ab16371e9,1702039402132,4.412,4.305,-0.263,0
65730f6af0fd7e0ab16371ee,1702039402270,4.381,4.374,-0.296,0
65730f6af0fd7e0ab16371f2,1702039402399,4.381,4.374,-0.296,0
65730f6af0fd7e0ab16371fd,1702039402531,4.381,4.374,-0.296,0
65730f6af0fd7e0ab1637205,1702039402654,4.381,4.374,-0.296,0
65730f6af0fd7e0ab163720a,1702039402800,4.381,4.374,-0.296,0
65730f6af0fd7e0ab1637212,1702039402931,4.381,4.374,-0.296,0
65730f6bf0fd7e0ab1637219,1702039403053,4.381,4.374,-0.296,0
65730f6bf0fd7e0ab163721e,1702039403180,4.381,4.374,-0.296,0
65730f6bf0fd7e0ab1637225,1702039403316,4.381,4.374,-0.296,0
65730f6bf0fd7e0ab163722e,1702039403447,4.381,4.374,-0.296,0
65730f6bf0fd7e0ab1637233,1702039403581,4.381,4.374,-0.296,0
65730f6bf0fd7e0ab163723c,1702039403714,4.381,4.374,-0.296,0
65730f6bf0fd7e0ab1637247,1702039403858,4.381,4.374,-0.296,0
65730f6bf0fd7e0ab163724f,1702039403980,4.381,4.374,-0.296,0
65730f6cf0fd7e0ab163725a,1702039404115,4.381,4.374,-0.296,0
65730f6cf0fd7e0ab1637264,1702039404247,4.381,4.374,-0.296,0
65730f6cf0fd7e0ab163726f,1702039404389,4.381,4.374,-0.296,0
65730f6cf0fd7e0ab1637277,1702039404516,4.381,4.374,-0.296,0
65730f6cf0fd7e0ab1637281,1702039404650,4.381,4.374,-0.296,0
65730f6cf0fd7e0ab163728b,1702039404791,4.381,4.374,-0.296,0
65730f6cf0fd7e0ab1637296,1702039404919,4.407,4.278,-0.366,0
65730f6df0fd7e0ab16372a1,1702039405048,4.407,4.278,-0.366,0
65730f6df0fd7e0ab16372aa,1702039405183,4.407,4.278,-0.366,0
65730f6df0fd7e0ab16372b4,1702039405315,4.407,4.278,-0.366,0
65730f6df0fd7e0ab16372bd,1702039405450,4.44,4.292,-0.376,0
65730f6df0fd7e0ab16372c6,1702039405583,4.44,4.292,-0.376,0
65730f6df0fd7e0ab16372d0,1702039405742,4.44,4.292,-0.376,0
65730f6df0fd7e0ab16372d9,1702039405870,4.535,4.277,-0.36,0
65730f6ef0fd7e0ab16372e5,1702039406032,4.535,4.277,-0.36,0
65730f6ef0fd7e0ab16372ed,1702039406197,4.535,4.277,-0.36,0
65730f6ef0fd7e0ab16372f9,1702039406365,4.535,4.277,-0.36,0
65730f6ef0fd7e0ab1637302,1702039406530,4.615,4.306,-0.318,0
65730f6ef0fd7e0ab163730d,1702039406694,4.615,4.306,-0.318,0
65730f6ef0fd7e0ab1637316,1702039406870,4.615,4.306,-0.318,0
65730f6ff0fd7e0ab163731e,1702039407026,4.815,4.26,-0.291,0
65730f6ff0fd7e0ab163732b,1702039407224,4.815,4.26,-0.291,0
